Loading (p.u.),Name,Bus1,Bus2
1.1668815777252284,Line.l(r:p17udm40145-p17ulv39678),p17udm40145.1.2,p17ulv39678.1.2
1.4750487622805333,Line.l(r:p17udt2390lv-p17ulv9245),p17udt2390lv.1.2,p17ulv9245.1.2
1.7280704430837974,Line.l(r:p17udm56604-p17udt15028lv),p17udt15028lv.1.2,p17udm56604.1.2
1.7280705972614692,Line.l(r:p17udm56604-p17ulv57170),p17udm56604.1.2,p17ulv57170.1.2
1.767897785044682,Line.l(r:p17udm6793-p17udt1609lv),p17udt1609lv.1.2,p17udm6793.1.2
1.8007833640343602,Line.l(r:p17udm6796-p17udt1609lv),p17udt1609lv.1.2,p17udm6796.1.2
1.8228782432600745,Line.l(r:p17udt2390lv-p17ulv9322),p17udt2390lv.1.2,p17ulv9322.1.2
1.9109078835771878,Line.l(r:p17udm6793-p17ulv6034),p17udm6793.1.2,p17ulv6034.1.2
1.9538823312592621,Line.l(r:p17udt15028lv-p17ulv57722),p17udt15028lv.1.2,p17ulv57722.1.2
1.957499124658116,Line.l(r:p17udm6796-p17ulv7920),p17udm6796.1.2,p17ulv7920.1.2
2.06980216767926,Line.l(r:p17udt15028lv-p17ulv57226),p17udt15028lv.1.2,p17ulv57226.1.2
2.6003351309454374,Line.l(r:p17udm10027-p17udt2390lv),p17udt2390lv.1.2,p17udm10027.1.2
2.6003352251940735,Line.l(r:p17udm10027-p17ulv9299),p17udm10027.1.2,p17ulv9299.1.2
