OpenDSS Value (p.u.),Bus
0.986827484282037,p17ulv58036
0.9869082460840319,p17ulv58223
0.9870329728400202,p17ulv57435
0.9881099655981878,p17ulv57675
0.9881453700348655,p17udm57271
0.9889911211899696,p17ulv34497
0.9909382417662537,p17ulv54563
0.9927188030964936,p17ulv57867
0.993568880551656,p17ulv57573
0.993653189035329,p17ulv57390
0.9937556765121376,p17ulv57986
0.9938397103238282,p17udm35446
0.9939089274113928,p17ulv57558
0.9939417386042244,p17ulv58026
0.9940215906303456,p17udm57062
0.9940744779909776,p17ulv57265
0.9940888867849507,p17ulv34551
0.9941482143132307,p17ulv71757
0.9943084116698048,p17ulv57695
0.9944539649362634,p17ulv71728
0.9946379547967908,p17udm56801
0.9946540580192331,p17ulv57526
0.994710580629697,p17ulv57163
0.9947752084893321,p17udm56773
0.9948444329687477,p17udm56796
0.9948489823176376,p17ulv58076
0.9948546821455025,p17ulv58092
0.9948739822713024,p17ulv71885
0.9950366515831386,p17ulv58087
0.9950884279469004,p17ulv57402
0.9950999118850539,p17ulv57251
0.995185260741845,p17ulv57853
0.9951866319755458,p17ulv57773
0.9952423606664715,p17udm56737
0.9952703098652831,p17udm69905
0.9953494437799284,p17ulv54097
0.9953625975428116,p17ulv57793
0.9954110201736011,p17ulv57510
0.9954155379550433,p17udm56807
0.9955202007487862,p17udm56585
0.9955311196446727,p17ulv57694
0.9955650207657527,p17udm69908
0.9955723951220472,p17udm70070
0.995721569507522,p17ulv54063
0.9957343139704413,p17udm57247
0.9957574611277312,p17ulv71664
0.995776636646361,p17ulv58037
0.9957840384809844,p17ulv71840
0.9958008146392137,p17ulv57547
0.995828982218955,p17udm57061
0.995832912789011,p17udm56776
0.9959034828369691,p17ulv54706
0.9959252772546583,p17ulv57532
0.9959433401031649,p17ulv57921
0.9959778317778715,p17ulv57928
0.9960252024023197,p17ulv71770
0.9960358679178922,p17ulv57342
0.9960596027521555,p17udm57460
0.9960716086693496,p17udt15128lv
0.99611714046116,p17ulv57945
0.9961922973013204,p17udm57063
0.9962249552212584,p17ulv57199
0.9962704030682917,p17udm57461
0.9962776694574536,p17ulv57404
0.9963175601165088,p17udm53743
0.9963280678010823,p17udm56981
0.9963339051657463,p17udm69909
0.9963887094271007,p17ulv57777
0.9964484789553689,p17ulv4980
0.9964866621613506,p17ulv57167
0.9964925288698033,p17udm54260
0.9965172563847058,p17ulv54112
0.9965232567495914,p17ulv57711
0.9965620045965202,p17ulv57294
0.9965824069209668,p17udm57382
0.9967004844519526,p17ulv57373
0.9967367888209383,p17udm56980
0.9967479327108464,p17ulv57618
0.9967967713998923,p17udt15104lv
0.9968298206028496,p17ulv57714
0.9968358716285378,p17ulv57836
0.9968718252503379,p17ulv58061
0.9968913984451004,p17udm56710
0.9968996917192112,p17ulv57401
0.9969225956172139,p17udm56586
0.9969365711403303,p17udt15103lv
0.9969380951129244,p17ulv57544
0.9969417701742713,p17ulv71708
0.9969558044523765,p17ulv57668
0.9969606913404658,p17ulv54554
0.996971072843636,p17ulv57697
0.9969788971001666,p17udm56711
0.9969884056011783,p17ulv57433
0.9969936269366262,p17ulv71705
0.9970094065841125,p17udt15233lv
0.9970303207721083,p17udm57383
0.9971196706586383,p17ulv58242
0.9971215163122515,p17ulv57398
0.997145520591967,p17ulv57848
