OpenDSS Value (p.u.),Bus
0.9915798754011595,p17ulv66028
0.994353987370947,p17ulv67453
0.9943933724582884,p17ulv39771
0.994500036488581,p17ulv67443
0.9947138292681947,p17ulv67417
0.9950886937481267,p17ulv39441
0.9954311342755889,p17ulv67403
0.9954653247414269,p17udm65781
0.9955249088903674,p17ulv67341
0.9957251939977871,p17ulv5767
0.9959015561571035,p17ulv67366
0.9959233783810375,p17ulv67412
0.9961106496066456,p17ulv67357
0.9962122863246259,p17udm65778
0.9963952340475268,p17udm64692
0.9964080086621772,p17ulv67395
0.9964487292334364,p17ulv39865
0.9966994861408862,p17udm65827
0.9967933068439261,p17udm6257
0.9968066041068058,p17ulv39639
0.9969286449308505,p17udm39848
0.997001585801421,p17ulv67512
0.9970316766858702,p17udm65826
0.9971863876239394,p17ulv66056
0.9972211122218095,p17ulv67344
0.997492815846013,p17udm39851
0.9977179298833045,p17udt17438lv
0.997890832023145,p17ulv67355
0.9982807163144641,p17ulv67507
0.9983496006192186,p17udm65787
0.9983514680337475,p17udt17450lv
0.9983599696677881,p17ulv67522
0.9985387840555491,p17ulv39665
0.9985854992213359,p17ulv67487
0.998642107224508,p17ulv39910
0.9987328739405056,p17ulv67460
0.9987461940640627,p17ulv67509
0.9987779583604453,p17ulv20778
0.9988257474425233,p17udm64777
0.9989499651867049,p17ulv67506
0.998993624379884,p17udm65793
0.9990145183384509,p17ulv67345
0.9990846200239986,p17udm65931
0.9991391172192683,p17ulv67375
0.9991488757670142,p17ulv66129
0.9991538245655125,p17ulv67550
0.9991748480266278,p17ulv67434
0.9992574483628252,p17udm64539
0.9992680985127556,p17ulv67556
0.99929208234287,p17ulv66127
0.9992936007485536,p17udm39845
0.9993000968645765,p17udt17441lv
0.9993138706786745,p17ulv67471
0.9993266752562922,p17udm65863
0.9993568621841313,p17ulv67519
0.999390422720712,p17ulv67457
0.999678116520015,p17ulv39730
0.999757668717884,p17udm64540
0.9997590603891846,p17udm65791
0.9998935403763354,p17udm65789
0.999937924949166,p17ulv67426
0.9999548440533054,p17udm65798
0.9999934604599794,p17udm65872
1.0001143374811883,p17udm64883
1.0001698581139222,p17udm65862
1.0002001729633934,p17udm64776
1.0002030762550345,p17udm64885
1.0002567851228248,p17udm64541
1.000290291739394,p17ulv67538
1.000306213067877,p17ulv67358
1.0003381207666988,p17ulv66246
1.0003670484544143,p17ulv67380
1.000433537228508,p17udt17440lv
1.0004408151262587,p17ulv67474
1.0004583391447723,p17ulv67408
1.0006132010283773,p17ulv67410
1.000621728748943,p17ulv20819
1.000656349637677,p17udm65860
1.0006806464835933,p17ulv67430
1.0008199158896567,p17ulv66251
1.0008300765408218,p17udm65932
1.0008376341469183,p17udm37138
1.0009151071412137,p17udm64881
1.0009847987569302,p17ulv20570
1.001076290599858,p17ulv67544
1.0012423117467275,p17ulv67475
1.001254854361985,p17udm65847
1.001304200558524,p17ulv66049
1.0013148146905226,p17ulv65810
1.0013444527408661,p17udm65861
1.0013709060280744,p17udm21716
1.001391922223036,p17ulv66222
1.001431606373274,p17ulv65769
1.001487678636939,p17ulv39462
1.0014898529248946,p17ulv65965
1.0015036985734609,p17ulv67488
1.001630507172016,p17ulv67367
1.0016775405919947,p17ulv67536
1.0016809697971807,p17ulv20642
1.0016818541789547,p17ulv67456
1.0018062086354684,p17udm65796
1.0018182943177538,p17ulv67513
1.0018263997121961,p17ulv67469
1.001826713306762,p17ulv67502
1.001836601101922,p17ulv65621
1.0018381181258547,p17udm64242
1.0018539438512226,p17ulv67468
1.001911968935771,p17udm64652
1.0019178777812205,p17ulv67414
1.001931740041353,p17udm64882
1.0019338106907205,p17ulv67420
1.0019479210745894,p17udm65896
1.0019850454085393,p17ulv36724
1.0019983212318326,p17ulv66177
1.0019986767495106,p17udt17472lv
1.002024069704082,p17udt17442lv
1.0020416588294305,p17ulv66211
1.0020733842732237,p17udm64542
1.002087479057213,p17ulv67359
1.00212770281583,p17ulv65707
1.0021327558229194,p17ulv67339
1.0021400946143473,p17ulv67525
1.0021709152195708,p17ulv20745
1.0021982622888745,p17udm64778
1.0022542694431156,p17udm65844
1.0022786338969936,p17ulv67348
1.002357106924732,p17ulv66150
1.0023737556693542,p17ulv67478
1.0023773096953104,p17udm64467
1.002391601116412,p17ulv6350
1.0024329362876037,p17udm64241
1.002452692618776,p17udm64775
1.002480298979413,p17udt17461lv
1.002488749027194,p17ulv67377
1.00252601538685,p17ulv66025
1.0025328981412702,p17ulv65862
1.0025434324046703,p17ulv65618
1.0025439560690403,p17udt17463lv
1.0025477089855497,p17ulv67481
1.0025486669646368,p17udm21477
1.002572296503111,p17ulv65844
1.0025775808465482,p17ulv65838
1.002585125731993,p17ulv20179
1.002593542583934,p17ulv67445
1.0025943834653623,p17ulv39573
1.0026214838572254,p17udm65843
1.0026254137145383,p17ulv67431
1.0026364490290258,p17ulv67392
1.0026531257711127,p17udm65838
1.002666234966699,p17ulv20795
1.0026781071786517,p17udt17467lv
1.0027096482902689,p17ulv67446
1.0027191202292973,p17udm64862
1.0027342107616048,p17udm64767
1.0027390722382716,p17ulv65808
1.0027419347488475,p17ulv67363
1.0027446656955004,p17ulv36715
1.002770626893229,p17ulv67400
1.0028127891277236,p17ulv67452
1.0028255355782019,p17ulv65789
1.002864223867071,p17ulv65693
1.0028804046039141,p17udm64465
1.002888145389571,p17ulv67531
1.0028906229174912,p17udm65914
1.0028982057321123,p17ulv67529
1.0028983883294091,p17ulv67545
1.0029292996751984,p17ulv66038
1.002951342169105,p17ulv39446
1.002979946540873,p17udm64751
1.0029916669390713,p17ulv65689
1.003003806626651,p17ulv66022
1.0030139576062238,p17ulv20727
1.003033313304866,p17udm65881
1.0030339710119374,p17ulv67498
1.003037210502577,p17udm64866
1.0030731755436957,p17udm65845
1.0030914262669035,p17ulv67390
1.0031338137136836,p17ulv65835
1.0031381806032407,p17ulv66034
1.0031412749373825,p17udm64654
1.0031416408105631,p17ulv66189
1.003170973443832,p17ulv67347
1.0031792811921565,p17udm64227
1.0031881198664,p17udm65839
1.0031956692030906,p17udm64464
1.0032178482601741,p17udm65802
1.0032340061257041,p17ulv67461
1.0032530388767347,p17udm21238
1.0032896774272615,p17udm64462
1.0032901516263506,p17ulv36690
1.0033085518331888,p17udm64470
1.0033283221629818,p17ulv67534
1.0033338489759989,p17udm37137
1.0033452356834691,p17udt17491lv
1.0033528455356784,p17ulv66221
1.0033925509285586,p17ulv39727
1.0033932843560216,p17ulv39755
1.0034007741688526,p17udm65801
1.003413809115203,p17ulv39579
1.0034147168885754,p17ulv65706
1.003416571177575,p17udm39846
1.003417127305624,p17ulv67429
1.0034207538061142,p17ulv67499
1.0034239748156946,p17udm65804
1.0034530447246268,p17udm65878
1.0034557140182294,p17ulv66162
1.0034637637323884,p17ulv67470
1.0034726279067825,p17ulv36488
1.0034807421212317,p17ulv67370
1.0034852582017018,p17ulv67382
1.0034946108578773,p17ulv39471
1.0034950231698652,p17udm37349
1.0035005959684757,p17ulv67477
1.0035087387175532,p17udt17443lv
1.003514307970898,p17udm21236
1.0035461361694158,p17udt17482lv
1.0035524214340992,p17ulv66193
1.0035858855083197,p17udt5464lv
1.0035960151494363,p17ulv67421
1.0035965713141008,p17udm21718
1.0035983971770603,p17ulv66256
1.0036026197404198,p17udm65877
1.0036054842499618,p17ulv39824
1.0036117765359465,p17udm64553
1.0036179290062819,p17udt17015lv
1.003619483172539,p17udm64714
1.0036449824019666,p17ulv67398
1.0036467027946347,p17ulv67503
1.003679906116254,p17ulv65730
1.0036810402521095,p17udm64455
1.003683902503888,p17ulv67349
1.0037192428760617,p17udm65833
1.0037221247823425,p17ulv20649
1.003726078754493,p17ulv66061
1.0037271077901346,p17ulv65938
1.0037289719180684,p17udm64884
1.0037356482883002,p17ulv66106
1.0037557380714979,p17ulv67546
1.0037830664143492,p17ulv65863
1.003783474292082,p17ulv67501
1.0037950599373422,p17udt17456lv
1.0037981860855343,p17udm64784
1.003798815596114,p17udm21239
1.003808242746794,p17ulv65857
1.003817369802154,p17udm64717
1.0038207742464853,p17udm65834
1.003823095593507,p17udm65879
1.0038262932699769,p17udm64520
1.003827244593734,p17udm64517
1.0038295778820767,p17ulv65775
1.0038461144115318,p17ulv66062
1.0038483254701052,p17udm65933
1.0038542102924306,p17udm39864
1.0038548002200276,p17ulv67493
1.0038564878014098,p17udt17177lv
1.003862906113121,p17udm64835
1.0038672620982139,p17udm64468
1.003888122152171,p17udm64864
1.0039091450597946,p17udt17453lv
1.0039122823005884,p17udm39813
1.003916802556359,p17udm64764
1.0039785068820883,p17udm64865
1.0039800105962196,p17ulv66055
1.003995827371945,p17ulv67491
1.0040187996561873,p17ulv67411
1.0040296755853557,p17ulv65685
1.0040324780949148,p17ulv66155
1.0040404464640713,p17ulv20737
1.0040413472390781,p17ulv66145
1.0040490571280916,p17ulv66090
1.0040546037513622,p17ulv67496
1.0040632622074694,p17ulv65990
1.0040701356558186,p17ulv67547
1.0040809319463657,p17udm64720
1.004082209798026,p17udm39847
1.004096414494107,p17ulv66214
1.004108079105071,p17udm65841
1.0041112008745747,p17udm64752
1.004117140547753,p17udm21717
1.0041310916541066,p17ulv20779
1.004135502417725,p17ulv66187
1.0041424059698412,p17ulv66051
1.0041999948951694,p17ulv65909
1.0042007606000838,p17ulv5692
1.0042482321707151,p17udt17465lv
1.0042491119614179,p17udm64836
1.0042560545252976,p17udt17161lv
1.0042725531512966,p17ulv39862
1.0042948054033267,p17ulv66154
1.004305587885479,p17ulv36738
1.0043142174984554,p17udm64511
1.004318927111853,p17ulv39761
1.004324169702154,p17ulv66071
1.0043456833413487,p17udt17149lv
1.0043550010780735,p17udm64522
1.0043569195690984,p17ulv39577
1.0044025000804075,p17ulv66167
1.0044231985566394,p17udm64781
1.0044257055879937,p17udm37192
1.0044898840045193,p17udt17495lv
1.0045182317186772,p17udm37282
1.004536418763034,p17ulv66252
1.0045365676145432,p17ulv66100
1.0045398811861257,p17ulv20633
1.0045873994958954,p17udm64786
