Loading (p.u.),Name,Bus1,Bus2
1.0049336179339579,Line.l(r:p17udm39845-p17udt10454lv),p17udt10454lv.1.2,p17udm39845.1.2
1.694820086151413,Line.l(r:p17udt6788lv-p17ulv24966),p17udt6788lv.1.2,p17ulv24966.1.2
1.7034949564953086,Line.l(r:p17udm40124-p17udt10528lv),p17udt10528lv.1.2,p17udm40124.1.2
1.7034951260675522,Line.l(r:p17udm40124-p17ulv42657),p17udm40124.1.2,p17ulv42657.1.2
1.9985321279105632,Line.l(r:p17udm65927-p17udt17489lv),p17udt17489lv.1.2,p17udm65927.1.2
1.9985323401722674,Line.l(r:p17udm65927-p17ulv67495),p17udm65927.1.2,p17ulv67495.1.2
2.3088220339042724,Line.l(r:p17udt1227lv-p17ulv4672),p17udt1227lv.1.2,p17ulv4672.1.2
2.363869602683456,Line.l(r:p17udm64257-p17udt17019lv),p17udt17019lv.1.2,p17udm64257.1.2
2.4826525631897547,Line.l(r:p17udm64256-p17udm64257),p17udm64257.1.2,p17udm64256.1.2
2.54273947120157,Line.l(r:p17udm64256-p17udm64258),p17udm64256.1.2,p17udm64258.1.2
2.542739592456446,Line.l(r:p17udm64258-p17ulv67402),p17udm64258.1.2,p17ulv67402.1.2
