OpenDSS Value (p.u.),Bus
0.9789099219857124,p17ulv30975
0.983594405469995,p17ulv24552
0.9843837031531805,p17udm31642
0.9923061219174588,p17udm25560
0.9984571536020278,p17ulv65792
1.0007253778618965,p17ulv29295
1.0014758745073646,p17ulv25004
1.002033655198535,p17ulv25049
1.002121738751507,p17ulv24699
1.0025305210014168,p17udm25564
1.0025670397368218,p17ulv29141
1.002913880797054,p17ulv65755
1.0029159266206673,p17udm64404
1.0029518526021803,p17udm30095
1.003571024845591,p17ulv67483
1.0036942927321582,p17ulv65654
1.0038411614871157,p17ulv25076
1.0040460861282965,p17ulv25040
1.0044333414526658,p17udm64579
1.0045660974407944,p17ulv65933
1.004635178726858,p17ulv25027
1.0046958981834528,p17ulv25163
1.0050885524326638,p17udm25949
1.005194111773105,p17udm64575
1.0052514037146711,p17ulv67489
1.005402135428901,p17ulv24951
1.0054672324248903,p17ulv65716
1.0058180814327882,p17ulv25026
1.0059184000613253,p17udm25947
1.0060200530808472,p17ulv31126
1.0060613644668972,p17ulv30736
1.0062069155161961,p17ulv2716
1.006218660441709,p17ulv25160
1.0063056325862951,p17ulv22525
1.0065662781406832,p17ulv24560
1.0067160092771172,p17ulv22470
1.0067604133090542,p17ulv67523
1.006932536505791,p17ulv65798
1.00698662226131,p17udm64377
1.007001424545699,p17udm18814
1.007160925364543,p17ulv24550
1.0072014406228522,p17ulv65701
1.0073156900043951,p17udm64531
1.0075095085939005,p17ulv65943
1.0075420393805952,p17ulv67486
1.0076773346155963,p17ulv22521
1.007678196607079,p17ulv67376
1.0076884584568826,p17ulv31010
1.0078166444149157,p17ulv29113
1.0078641320028798,p17udm31582
1.0078904524887213,p17udm25561
1.007904973030041,p17udm3074
1.00801162269972,p17ulv23784
1.0080728886403247,p17ulv65778
1.0081347738440916,p17ulv24617
1.0081536244642209,p17ulv67427
1.0082647208230595,p17ulv23840
1.0083131046705343,p17ulv2528
1.0083645594766841,p17ulv71050
1.0083710986223748,p17udm64530
1.008442308204515,p17udm25869
1.0084518077246925,p17udm25559
1.0084964974308532,p17ulv29377
1.0085202571798972,p17ulv24950
1.008588235697633,p17udm24783
1.0085896503494505,p17ulv24979
1.008631005717908,p17ulv24651
1.0086590789346792,p17udm64577
1.0086752616949926,p17ulv25108
1.0086834176479489,p17ulv30909
1.0086933901977582,p17ulv17863
1.0086954633071277,p17ulv30903
1.008700805908048,p17ulv2641
1.008704309337597,p17ulv2544
1.0087166941537664,p17ulv2464
1.0087168420673631,p17udm31646
1.0087427559381734,p17ulv31171
1.0087742213447979,p17ulv28871
1.008834514723509,p17udm18816
1.0088371155851539,p17ulv24948
1.008967655506655,p17udm64405
1.0089887437639222,p17ulv30960
1.0090260568274343,p17ulv17880
1.0090371120554882,p17ulv24604
1.0091154879814912,p17ulv2503
1.0091301740572494,p17ulv65680
1.009136562175234,p17ulv29259
1.0091652354598017,p17udm30014
1.009175515078509,p17ulv29277
1.009178698685542,p17ulv65839
1.0091927806605612,p17ulv24983
1.0092052702376837,p17ulv25091
1.0092790882000742,p17ulv67416
1.0092978974082183,p17ulv29294
1.0092998464770888,p17ulv24992
1.009320844726932,p17ulv25102
1.0093301037060607,p17udm24784
1.0093368828062008,p17ulv67518
1.0093473680365415,p17udm65821
1.0093689808879143,p17udm31840
1.00938374790033,p17udm25864
1.0094191374729213,p17ulv2212
1.0094576086955693,p17ulv31158
1.0094761245653805,p17udm25563
1.0094812312063501,p17udm2615
1.009505491520203,p17ulv24349
1.0095948327106237,p17ulv2504
1.0096136158663953,p17ulv25132
1.009670857538365,p17ulv2390
1.0096725945789156,p17udm31583
1.0096971983607221,p17ulv29197
1.0097239272577783,p17ulv30902
1.0097424663897945,p17ulv65691
