OpenDSS Value (p.u.),Bus
0.9891128010060966,p17ulv45298
0.9947426950065608,p17ulv45193
0.995752501258708,p17udm45228
0.9969912790877034,p17ulv12869
0.9990598132538011,p17ulv15923
0.9998791505678768,p17udm13698
1.0041543880044772,p17ulv45309
1.0044591880310267,p17ulv45392
1.0047176895008358,p17ulv12656
1.0049803945565325,p17udm45231
1.0057235132984168,p17ulv12490
1.0070211951317332,p17udm13306
1.0071244551933998,p17ulv56201
1.0077809587444473,p17ulv12505
1.0079047533928884,p17ulv12866
1.0080844852976392,p17ulv12913
1.0085125650027722,p17udm13307
1.0090966635666136,p17ulv56413
1.0091351752279905,p17ulv46726
1.009221988704205,p17ulv15805
1.009500348183287,p17ulv15948
1.0096037804394038,p17ulv45058
1.0097976480323136,p17ulv54634
1.0098986866479962,p17ulv15783
1.0099344526561316,p17udm13780
1.0099491573855648,p17ulv12654
1.0101118591804223,p17ulv56266
1.0101474307813199,p17ulv12705
1.0102569285715721,p17ulv56187
1.010328487797752,p17udm13699
1.0104596257010903,p17ulv56189
1.0104684033127314,p17ulv55291
1.010560000569516,p17ulv56293
1.0106164958764654,p17udm55432
1.0106219815349289,p17ulv45363
1.0106267405887663,p17ulv15858
1.0106539940695694,p17ulv45145
1.010671012122712,p17ulv56615
1.0106977980448657,p17ulv54686
1.0107280980458846,p17ulv45278
1.0107667453986213,p17ulv11210
1.0107798875983003,p17ulv12674
1.0108165600452426,p17ulv44980
1.010860799740879,p17udm13703
1.010886762232544,p17ulv56198
1.010921386644644,p17ulv12757
1.0109819354059089,p17ulv13276
1.010986768815695,p17ulv56500
1.0110141118398277,p17ulv46716
1.0110438520625329,p17ulv15867
1.011139848991175,p17udm13575
1.0111581346703216,p17udm55438
1.0111685004642958,p17ulv56428
1.011212483628526,p17ulv54559
1.0112196472990092,p17ulv45458
1.011271057959165,p17ulv12430
1.0112817280645667,p17udm45256
1.0112940174923999,p17udm55308
1.011342073632687,p17udm45229
1.0114008273943513,p17udm55314
1.0114736200639234,p17udm13581
1.01151679783417,p17udt3255lv
1.0115825068114512,p17ulv44926
1.0115901074376477,p17ulv12725
1.0116143735683363,p17ulv44972
1.0116979754077848,p17ulv20195
1.0117259171339685,p17ulv12779
1.0117355236045373,p17udm45252
1.011741413733077,p17ulv11209
1.011869236219204,p17ulv12698
1.0118847970349927,p17ulv12735
1.0118945889515645,p17ulv44998
1.0119046981063247,p17ulv45181
1.012015427389764,p17ulv12834
1.0120638247204319,p17udm45226
1.0120927002387066,p17udm12046
1.0121133184027262,p17ulv55825
1.012114144423608,p17ulv56335
1.012132923424836,p17ulv45100
1.012157995619182,p17udm55304
1.0121644814658342,p17ulv45148
1.0122005140648729,p17ulv45451
1.0122036210920766,p17udm13030
1.0122683652252933,p17ulv55760
1.0122812819965246,p17ulv55954
1.012350391087622,p17ulv45192
1.0124602727296725,p17udm12047
1.012461900361988,p17udt12387lv
1.012469007806934,p17udm13299
1.0125074887514693,p17udm45200
1.0125577908302077,p17udm55428
1.0126614822745643,p17ulv12589
1.0126932505277952,p17ulv20517
1.0126975007216164,p17ulv56667
1.0127449986803505,p17ulv13295
1.0127479927577676,p17ulv46729
1.012834835072014,p17udm45224
1.0128614229330068,p17ulv55775
1.012882941449254,p17udt3350lv
1.0129867821291034,p17udm13298
1.0130641593674625,p17ulv55916
1.0130771557008902,p17ulv12843
1.0130930431852272,p17ulv46725
1.0131592765622477,p17ulv16082
1.013173582639782,p17udm55312
1.0131775843693764,p17ulv56557
1.013222896372417,p17ulv12792
1.0132462383709209,p17udm55436
1.0132540933125234,p17udm55984
1.0132682703705205,p17ulv56558
1.0133382004738625,p17ulv12749
1.0134297157836105,p17udm13573
1.0134377858778376,p17ulv15883
1.0134552542024753,p17ulv29916
1.0134718693292366,p17udm45077
1.013483156102029,p17ulv12488
1.0134931583187448,p17ulv56475
1.0135171099945204,p17ulv12753
1.0135457537890313,p17ulv46633
1.013569509361258,p17ulv16029
1.0136710478196398,p17udm45254
1.0136745156092597,p17ulv12784
1.0136755615361772,p17ulv44975
1.0137086739817505,p17udm54958
1.0138026737183867,p17ulv54691
1.0138499588928167,p17ulv12754
1.0139109665185488,p17udm13032
1.0139421006912497,p17udm13531
1.0139992872273256,p17ulv55933
1.014022186723767,p17udm13285
1.0140909650768766,p17ulv56279
1.0141003894024323,p17udm55307
1.0142098934637467,p17ulv12699
1.0142217039257564,p17udm47059
1.0142314151956426,p17ulv56386
1.0142816550534675,p17ulv46667
1.0142844536931452,p17ulv12720
1.0143003239509993,p17udm55940
1.0143208534963284,p17ulv15859
1.0143320832490743,p17ulv15917
1.0143334447894188,p17ulv11211
1.014338976616549,p17ulv13986
1.0143472220305374,p17ulv45250
1.0143889974180589,p17ulv11207
1.014430475198445,p17ulv45199
1.0144364925402596,p17ulv15833
1.0144966063346723,p17udm55337
1.0144973974343232,p17ulv13810
1.0145165722301308,p17udm55429
1.0145833483749882,p17ulv56051
1.0145852935614261,p17ulv16059
1.0146162338547358,p17ulv12493
1.0146336823319442,p17ulv45405
1.0146407930340215,p17ulv12547
1.0146472986949018,p17ulv29811
1.0146565545786297,p17udm13325
1.0146570427335497,p17ulv16095
1.014674980421741,p17ulv56320
1.0147147253184539,p17ulv13900
1.0147184327222365,p17udm12040
1.0147377272960323,p17ulv46636
1.0147404496787225,p17ulv55992
1.0147702741584292,p17udm14958
1.0147750748392856,p17ulv12596
1.0147800826292126,p17ulv56002
1.0147811044638022,p17ulv16074
1.014781421601371,p17ulv16100
1.0148435244337555,p17ulv12608
