Loading (p.u.),Name,Bus1,Bus2
2.7123543554309113,Line.l(r:p17udm55177-p17ulv55628),p17udm55177.1.2,p17ulv55628.1.2
2.741677111925295,Line.l(r:p17udm37978-p17ulv37797),p17udm37978.1.2,p17ulv37797.1.2
2.7657181559496893,Line.l(r:p17udm21023-p17udt5423lv),p17udt5423lv.1.2,p17udm21023.1.2
2.7657186370444196,Line.l(r:p17udm21023-p17ulv20105),p17udm21023.1.2,p17ulv20105.1.2
2.7664489033168107,Line.l(r:p17udt14378lv-p17ulv54831),p17udt14378lv.1.2,p17ulv54831.1.2
2.7912797271395315,Line.l(r:p17udt12424lv-p17ulv46842),p17udt12424lv.1.2,p17ulv46842.1.2
2.8102959049461345,Line.l(r:p17udm54380-p17udt14378lv),p17udt14378lv.1.2,p17udm54380.1.2
2.810295917947995,Line.l(r:p17udm54380-p17ulv54728),p17udm54380.1.2,p17ulv54728.1.2
2.847857483645417,Line.l(r:p17udt4159lv-p17ulv15768),p17udt4159lv.1.2,p17ulv15768.1.2
2.920280910825424,Line.l(r:p17udm23412-p17udt6072lv),p17udt6072lv.1.2,p17udm23412.1.2
2.920281300379563,Line.l(r:p17udm23412-p17ulv22449),p17udm23412.1.2,p17ulv22449.1.2
3.219506704641618,Line.l(r:p17udt8045lv-p17ulv55443),p17udt8045lv.1.2,p17ulv55443.1.2
3.4058228671423705,Line.l(r:p17udm14991-p17udt3665lv),p17udt3665lv.1.2,p17udm14991.1.2
