OpenDSS Value (p.u.),Bus
0.9705303714599381,p17ulv30975
0.9733792833359616,p17ulv24552
0.9760511393045879,p17udm31642
0.9778408342470286,p17ulv58036
0.977915409599478,p17ulv58223
0.9786061574178172,p17ulv57435
0.9791639081812791,p17udm57271
0.979173273708973,p17ulv57675
0.9795463751891622,p17ulv45298
0.9805861016176093,p17ulv34497
0.9819251825850864,p17ulv54563
0.9821824548881293,p17udm25560
0.9827132511729066,p17ulv66028
0.9834544874999631,p17ulv7113
0.9836865445827736,p17ulv57867
0.9845992185465847,p17ulv57573
0.9848123373349211,p17ulv57986
0.9849467141034429,p17ulv57558
0.9849814967607116,p17ulv58026
0.9849968915241407,p17ulv71757
0.9850012932251659,p17udm57062
0.9851086383124659,p17ulv57695
0.9851542844736868,p17ulv57390
0.9852309922199478,p17ulv45193
0.9854758040966316,p17udm35446
0.9855227263742616,p17ulv71728
0.9855562990840303,p17ulv39771
0.9855908923841268,p17ulv67453
0.9856143224287632,p17ulv57265
0.9856679778782996,p17ulv57526
0.9857232406347646,p17ulv71885
0.9857275252076096,p17ulv34551
0.9857335949074402,p17ulv67443
0.9857433139571019,p17ulv57163
0.9858843397163908,p17ulv58076
0.9858963793324205,p17ulv58092
0.9859621969843486,p17ulv67417
0.9860868220369035,p17ulv58087
0.9861294116308899,p17udm69905
0.9861742291500799,p17ulv37325
0.9861944969707331,p17ulv54097
0.9862316763909393,p17ulv57402
0.9862505473413958,p17udm45228
0.9862759813485591,p17udm56801
0.9863144820154199,p17ulv39441
0.9863210678990398,p17udm56773
0.9863552409077838,p17ulv57793
0.9864311878810832,p17ulv57510
0.9864330037957546,p17udm69908
0.9864670320821158,p17udm56807
0.9864844444018301,p17udm56796
0.9864846017184348,p17ulv33640
0.9865602987154491,p17udm56585
0.9865804824906026,p17ulv71664
0.9866512912511947,p17udm70070
0.9866586044413359,p17ulv71840
0.9866823277240937,p17ulv57694
0.9866908776542761,p17ulv67403
0.9867099222530823,p17ulv57853
0.9867121112211468,p17udm65781
0.9867186444335865,p17ulv54706
0.9867390838610096,p17ulv57773
0.9867423867792657,p17ulv57251
0.9867571665242616,p17udm56737
0.9867726721398948,p17ulv67341
0.9867734427010357,p17ulv58037
0.9867841704650511,p17ulv54063
0.9868020742318073,p17udm57247
0.9868258842000988,p17udm57061
0.9868388768856702,p17ulv57547
0.9868504375983287,p17ulv71770
0.9869000890641109,p17ulv5767
0.9869415918810274,p17ulv57921
0.9869473194676802,p17ulv57532
0.9869758020566068,p17ulv57928
0.9869917815586144,p17ulv57207
0.9870564600781156,p17ulv57342
0.9871056735927175,p17udm57460
0.9871163835970879,p17ulv57945
0.9871410004851464,p17ulv34388
0.9871654868421436,p17ulv67366
0.9871716000581037,p17udm53743
0.9871746152532406,p17ulv67412
0.9871925169481384,p17udm57063
0.9871967162934803,p17udm69909
0.9872264849105828,p17udt15128lv
0.9872495953117941,p17ulv57199
0.9873205032990784,p17udm57461
0.9873673761263579,p17udm56981
0.98738141580622,p17ulv67357
0.987387851883202,p17udm56776
0.9874020092152334,p17ulv57404
0.9874384039289457,p17ulv57777
0.987473955077915,p17udm65778
0.9875241451709545,p17ulv38227
0.9875483133912535,p17ulv57711
0.987565371313486,p17udm54260
0.987572056933867,p17udm64692
0.9875858908768478,p17udm57382
0.9875870819559693,p17ulv54112
0.9876166658276555,p17ulv4980
0.9876200639904685,p17ulv57167
0.9876208960132817,p17ulv57294
0.9876759112604735,p17ulv67395
0.9876870478765883,p17ulv39865
0.9877745042110041,p17ulv71708
0.9877770568386475,p17udm56980
0.9877803342719711,p17ulv57373
0.9878506339552432,p17ulv57714
0.9878511174396334,p17ulv66056
0.9878837152476497,p17ulv57618
0.9879023848247732,p17ulv57836
0.9879217317217066,p17udm56710
0.9879257817421961,p17udt15104lv
0.9879364857728561,p17ulv58061
0.9879704650302242,p17udm65827
0.9879777533169007,p17udm6257
0.9879804469073694,p17udm56586
0.9879897025002662,p17udm54304
0.9879910679271023,p17ulv57668
0.9879922250616767,p17udm35205
0.9880077333364745,p17udm56711
0.9880172256861959,p17ulv57697
0.9880368590192293,p17ulv57401
0.988037889848475,p17udm57383
0.9880380288471906,p17ulv54554
0.9880437145305964,p17ulv57433
0.9880489891164933,p17ulv39639
0.9880638870188363,p17udt15233lv
0.9880722272553586,p17ulv71705
0.9880740725692125,p17udt15103lv
0.9880756090243414,p17ulv57544
0.9881286850650586,p17ulv58242
0.9881719146381744,p17udm39848
0.9881917557764428,p17ulv57175
0.9881948140391554,p17ulv57848
0.988256852198939,p17udm56587
0.9882593778866737,p17ulv67512
0.9882689244371403,p17udm56720
0.9882692074609695,p17ulv58211
0.9882833491213397,p17ulv57398
0.9882974568767777,p17udm57267
0.9883056089805794,p17udm65826
0.988308529702858,p17ulv57749
0.988308963867282,p17udm57245
0.9883198300049507,p17ulv71763
0.9883282771907917,p17ulv57421
0.9883300134580263,p17ulv57571
0.988350313995388,p17udm69952
0.9883504103739644,p17ulv57263
0.9883689891208441,p17udm57253
0.9884020903415689,p17ulv57443
0.9884400937139504,p17ulv57849
0.9884428136088987,p17udm57381
0.988455410342746,p17ulv54065
0.9884615354242072,p17ulv57270
0.9884787060955165,p17ulv67344
0.988498948795135,p17udm57251
0.9885090771330045,p17ulv58158
0.988512441933551,p17udt15135lv
0.9885396456948532,p17ulv57304
